brand,count
Volkswagen,79554
BMW,40311
Opel,40084
MercedesBenz,35283
Audi,32837
Ford,25536
Renault,17957
Peugeot,11019
Fiat,9668
Seat,7016
Mazda,5882
Skoda,5632
Smart,5241
Citroen,5180
Nissan,5030
Toyota,4689
SonstigeAutos,3978
Hyundai,3639
Mini,3390
Volvo,3325
Mitsubishi,3059
Honda,2834
Kia,2549
AlfaRomeo,2343
Suzuki,2324
Porsche,2215
Chevrolet,1843
Chrysler,1450
Dacia,899
Jeep,806
Daihatsu,804
Subaru,779
LandRover,769
Jaguar,621
Trabant,590
Daewoo,541
Saab,529
Rover,490
lancia,483
Lada,225
I.Reihe,124
